Rk,Player,Season,Age,Nation,Team,Comp,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges Tkl,ChallengesAtt,Challenges Tkl%,Challenges Lost,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Pos
1,Mats Wieffer,2024-2025,24,nl NED,Brighton,eng Premier League,5.1,3,2.4,2.4,0.4,2.8,4.2,68.1,1.3,1.6,0.2,1.4,1.5,6.7,2.5,0.3,"DF,MF"
2,Casemiro,2024-2025,32,br BRA,Manchester Utd,eng Premier League,5,3,3,1.4,0.6,2.7,4.5,60.8,1.7,2.3,0.6,1.7,0.8,5.8,3.1,0.2,MF
3,Lars Ritzka,2024-2025,26,de GER,St. Pauli,de Bundesliga,4.8,2.8,2.7,1.6,0.5,2.4,4,61,1.6,1.6,0.2,1.4,1.1,5.9,4,0,"DF,MF"
4,Tim Iroegbunam,2024-2025,21,eng ENG,Everton,eng Premier League,4.5,2.2,2.2,1.6,0.8,2.2,3.6,60.9,1.4,2.8,0.6,2.2,2.5,7.1,1.9,0.2,MF
5,Luck ZogbÈ,2024-2025,19,ci CIV,Brest,fr Ligue 1,4.5,2.5,2.4,1.6,0.6,2.5,3.7,69.2,1.1,1.6,0.3,1.3,2,6.5,3.1,0.1,DF
6,Pierrick Capelle,2024-2025,37,fr FRA,Angers,fr Ligue 1,4.5,3.2,1.9,1.7,0.9,1.7,3.4,50,1.7,0.7,0.2,0.6,2,6.5,0.9,0.2,MF
7,Alfonso Espino,2024-2025,32,uy URU,Rayo Vallecano,es La Liga,4.4,2.6,3.3,0.9,0.2,2.8,5.1,55.3,2.3,2.1,0.6,1.4,1.3,5.7,3.5,0.1,DF
8,Paul Joly,2024-2025,24,fr FRA,Auxerre,fr Ligue 1,4.4,2.9,2.7,1.5,0.2,2.4,4,60,1.6,1.7,0.1,1.6,2.2,6.6,2.9,0.4,DF
9,Ibrahim SangarÈ,2024-2025,26,ci CIV,Nott'ham Forest,eng Premier League,4.3,2.1,1.2,2.6,0.5,1.2,2.6,47.1,1.4,1.5,0.6,0.9,0.9,5.2,2,0.2,MF
10,Louis Mouton,2024-2025,22,fr FRA,Saint-…tienne,fr Ligue 1,4.2,2.2,1.2,2.2,0.9,1.9,3.2,59.5,1.3,1.5,0.3,1.2,0.9,5.1,1.6,0,MF
