,,,,,,,,,,,,,,Per 90,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
1801,Artem Dovbyk,0.1,2024-2025,27,ua UKR,Roma,it Serie A,32,2418,26.9,27,5,3,0.4,0.1,0.5,0.4,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0,0.1,0.4,0.1,0.3,0.1,0.2,0.4,0,FW
1802,Folarin Balogun,0.1,2024-2025,23,us USA,Monaco,fr Ligue 1,13,615,6.8,7,6,1,0.6,0,0.6,0.6,0,0,0,0.1,0.1,0,0,0.1,0,0.6,0,0.6,0,0,0,0.1,0.3,0,0,FW
1803,Keita Baldé,0.1,2024-2025,29,sn SEN,Monza,it Serie A,11,638,7.1,8,3,0,0.3,0,0.3,0.3,0,0,0,0.1,0.1,0,0.1,0,0.1,0.3,50,0.1,0.6,0,0.6,0.3,0.4,0,0,FW
1804,Rasmus Højlund,0.1,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,2004,22.3,23,9,2,0.2,0,0.2,0.2,0,0,0,0.1,0,0,0.1,0,0,0.2,0,0.2,0.3,0,0.3,0.1,0.2,0.3,0,FW
1805,Romelu Lukaku,0.1,2024-2025,31,be BEL,Napoli,it Serie A,36,2843,31.6,35,1,0,0.4,0.3,0.8,0.3,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,25,0.1,0.2,0.1,0.2,0,0.2,0.5,0,FW
1806,Alejo Véliz,0.1,2024-2025,20,ar ARG,Espanyol,es La Liga,27,1127,12.5,10,17,11,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0.6,14.3,0.5,1,0.2,0.8,0.3,0.4,1.8,0.1,FW
1807,Diego,0.1,2024-2025,24,es ESP,Leganés,es La Liga,28,1195,13.3,13,15,6,0.2,0,0.2,0.2,0,0,0,0.1,0.1,0,0,0.1,0.1,0.5,14.3,0.5,0.3,0.1,0.2,0.2,0.2,0.8,0,FW
1808,Milan Đurić,0.1,2024-2025,34,ba BIH,2 Teams,it Serie A,27,1538,17.1,16,11,3,0.3,0.1,0.4,0.3,0,0,0,0.1,0.1,0,0.1,0,0,0.3,0,0.3,0.5,0,0.5,0.1,0.2,1.1,0,FW
1809,Elye Wahi,0,2024-2025,21,fr FRA,2 Teams,2 Comps,21,770,8.6,8,13,5,0.4,0.1,0.5,0.2,0.1,0.1,0,0,0,0,0,0,0,0.6,0,0.6,0.2,0,0.2,0.1,0.1,0.1,0,FW
1810,Luka Jović,0,2024-2025,26,rs SRB,Milan,it Serie A,15,557,6.2,6,9,6,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,,0,0.3,0.2,0.2,0.2,0.2,0.5,0,"FW,MF"
