Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges Tkl,ChallengesAtt,Challenges Tkl%,Challenges Lost,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Pos
201,Boubacar Kamara,2.6,2024-2025,24,fr FRA,Aston Villa,eng Premier League,26,1726,19.2,20,6,1,0.1,0,0.1,0.1,0,0,0,2.6,1.1,1.5,0.9,0.2,1.5,2.9,51.8,1.4,1,0.4,0.6,1,3.6,2.7,0.2,MF
202,Konrad Laimer,2.6,2024-2025,27,at AUT,Bayern Munich,de Bundesliga,29,1699,18.9,19,10,4,0.1,0.1,0.2,0.1,0,0,0,2.6,1.4,1,1.2,0.4,1.2,2.5,47.9,1.3,1.3,0.1,1.2,0.4,3,1.3,0.1,DF
203,Coba da Costa,2.6,2024-2025,22,es ESP,Getafe,es La Liga,19,1006,11.2,12,7,11,0.1,0.1,0.2,0.1,0,0,0,2.6,1.2,0.8,1.4,0.4,1.2,2.3,50,1.2,2.1,0,2.1,0.7,3.3,0.9,0,"MF,FW"
204,Adam Obert,2.6,2024-2025,21,sk SVK,Cagliari,it Serie A,21,1077,12,13,8,15,0.1,0.1,0.2,0.1,0,0,0,2.6,1.5,1,1.4,0.2,1.3,2.3,59.3,0.9,1.6,0.6,1,1.9,4.5,4,0.2,DF
205,Nicolas Cozza,2.6,2024-2025,25,fr FRA,2 Teams,2 Comps,27,2051,22.8,23,4,2,0,0,0,0,0,0,0,2.6,1.8,1.5,0.8,0.3,1.4,2.1,66,0.7,1.1,0.4,0.7,1.1,3.7,3,0,"DF,MF"
206,Mohamed Kaba,2.6,2024-2025,22,fr FRA,Lecce,it Serie A,15,452,5,2,13,16,0,0,0,0,0,0,0,2.6,1.6,1.4,1,0.2,1.6,2,80,0.4,2.2,0.8,1.4,0.8,3.4,2,0.2,MF
207,Diego Rico,2.6,2024-2025,31,es ESP,Getafe,es La Liga,33,2819,31.3,32,1,1,0,0.1,0.1,0,0,0,0,2.6,1.6,1.5,0.9,0.2,1.5,2.7,55.3,1.2,1.3,0.1,1.2,1.1,3.7,3.3,0.1,DF
208,Abdoulaye Niakhate Ndiaye,2.6,2024-2025,22,sn SEN,Brest,fr Ligue 1,22,1707,19,19,3,6,0.1,0,0.1,0.1,0,0,0,2.6,1.7,1.9,0.6,0.1,1.3,2,67.6,0.6,1.5,0.9,0.6,0.6,3.2,7.6,0.2,DF
209,Marco Friedl,2.6,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,26,2161,24,25,1,0,0,0,0,0,0,0,0,2.6,1.7,1.5,1.1,0,1.6,2.7,57.6,1.2,1.7,1,0.7,1.4,4,5.4,0,DF
210,Rayan Aït-Nouri,2.6,2024-2025,23,dz ALG,Wolves,eng Premier League,37,3109,34.5,37,0,0,0.1,0.2,0.3,0.1,0,0,0,2.6,1.7,1.5,0.8,0.3,1.2,2,61.4,0.8,1.2,0.2,1,0.8,3.3,2.2,0.1,DF
211,Yassine Kechta,2.6,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,2096,23.3,25,6,2,0.1,0,0.1,0.1,0,0,0,2.6,1.5,1.4,0.9,0.3,1.4,3.3,42.3,1.9,1.1,0.1,1,1.1,3.7,1.4,0.1,"MF,FW"
212,Javi Galán,2.6,2024-2025,29,es ESP,Atlético Madrid,es La Liga,25,1784,19.8,21,4,11,0,0.2,0.2,0,0,0,0,2.6,1.6,1.6,0.8,0.3,1.3,2.5,51,1.2,0.7,0.2,0.5,0.6,3.2,2.4,0,DF
213,Jean-Eudes Aholou,2.6,2024-2025,30,ci CIV,Angers,fr Ligue 1,26,1959,21.8,26,0,1,0.1,0,0.1,0.1,0,0,0,2.6,1.7,1.2,0.9,0.5,1,2.2,45.8,1.2,1.6,0.6,0.9,1.5,4.1,1.5,0,MF
214,Carlos Romero,2.6,2024-2025,22,es ESP,Espanyol,es La Liga,34,2554,28.4,28,6,2,0.1,0,0.1,0.1,0,0,0,2.6,1.7,1.7,0.6,0.3,1.6,2.9,54.9,1.3,1.8,0.5,1.2,1.1,3.6,3.6,0,DF
215,César Azpilicueta,2.6,2024-2025,34,es ESP,Atlético Madrid,es La Liga,14,875,9.7,10,4,16,0.1,0,0.1,0.1,0,0,0,2.6,1.4,1.2,0.9,0.4,1.7,2.4,73.9,0.6,1,0.2,0.8,0.5,3.1,3.3,0,DF
216,Fabio Carvalho,2.6,2024-2025,21,pt POR,Brentford,eng Premier League,19,455,5.1,3,16,6,0.4,0.2,0.6,0.4,0,0,0,2.6,1.8,0.8,0.8,1,1.2,2.6,46.2,1.4,1.2,0.2,1,0.6,3.2,0.4,0,"FW,MF"
217,Mikkel Damsgaard,2.6,2024-2025,24,dk DEN,Brentford,eng Premier League,38,2911,32.3,34,4,0,0.1,0.3,0.4,0.1,0,0,0,2.6,1.4,0.8,0.9,0.8,1,2.5,38.3,1.5,1.2,0.1,1.1,0.8,3.4,1,0.1,"MF,FW"
218,Abakar Sylla,2.6,2024-2025,21,ci CIV,Strasbourg,fr Ligue 1,21,950,10.6,10,11,9,0.1,0,0.1,0.1,0,0,0,2.6,1.4,1.3,1,0.2,1.4,1.6,88.2,0.2,1.7,0.9,0.8,1,3.6,6,0,DF
219,Rocco Reitz,2.6,2024-2025,22,de GER,Gladbach,de Bundesliga,27,1830,20.3,21,6,0,0.1,0,0.1,0.1,0,0,0,2.6,1.2,1.2,1.2,0.2,1.2,2.1,55.8,0.9,1.9,0.8,1.1,2.6,5.2,2.9,0.1,MF
220,Emerson Palmieri,2.6,2024-2025,29,it ITA,West Ham,eng Premier League,31,2113,23.5,26,5,4,0.1,0,0.1,0.1,0,0,0,2.6,1.3,1.6,0.8,0.2,1.2,2,56.3,0.9,1.4,0.3,1,0.9,3.5,2.5,0,DF
221,Rodrigo Gomes,2.6,2024-2025,21,pt POR,Wolves,eng Premier League,25,810,9,7,18,9,0.2,0,0.2,0.2,0,0,0,2.6,1.7,1.6,1,0,1.3,2.3,57.1,1,0.9,0.1,0.8,0.8,3.3,2.2,0.1,"DF,FW"
222,Marcus Coco,2.6,2024-2025,28,fr FRA,Nantes,fr Ligue 1,20,951,10.6,10,10,6,0,0.1,0.1,0,0,0,0,2.6,2,1.4,0.9,0.3,1.5,2.9,51.6,1.4,1.5,0.5,1,1,3.6,4.4,0,DF
223,Warren Kamanzi,2.6,2024-2025,23,no NOR,Toulouse,fr Ligue 1,24,1022,11.4,11,13,9,0.1,0.1,0.2,0.1,0,0,0,2.6,1.1,1.1,1.1,0.4,1.2,2.5,50,1.2,0.6,0.3,0.4,0.8,3.3,2.2,0,"DF,MF"
224,Patrick Dorgu,2.6,2024-2025,19,dk DEN,2 Teams,2 Comps,33,2682,29.8,31,2,1,0.1,0,0.1,0.1,0,0,0,2.6,1.7,1.2,1.1,0.2,1.3,2.3,57.4,1,1.2,0.2,1,0.7,3.3,2.2,0.1,DF
225,Kalvin Phillips,2.5,2024-2025,28,eng ENG,Ipswich Town,eng Premier League,19,1237,13.7,14,5,6,0,0,0,0,0,0,0,2.5,1.4,0.6,1.5,0.5,1.1,2.8,38.5,1.7,2.5,0.4,2.1,1.4,3.9,2.7,0.1,MF
226,Ylber Ramadani,2.5,2024-2025,28,al ALB,Lecce,it Serie A,29,1807,20.1,21,8,8,0,0,0.1,0,0,0,0,2.5,1.4,1.2,1.3,0,1.6,2.6,63.5,0.9,1.3,0.4,0.8,1.2,3.7,1.3,0.1,MF
227,Edson Álvarez,2.5,2024-2025,26,mx MEX,West Ham,eng Premier League,28,1772,19.7,20,8,2,0,0.1,0.1,0,0,0,0,2.5,1.4,1.4,0.8,0.4,0.9,1.8,48.6,0.9,1.2,0.4,0.8,0.9,3.5,2.3,0.1,MF
228,Carmona,2.5,2024-2025,22,es ESP,Sevilla,es La Liga,35,2942,32.7,35,0,0,0,0,0,0,0,0,0,2.5,1.8,1.6,0.6,0.3,1.3,2.4,53.2,1.1,1.1,0.3,0.8,2.1,4.6,2.8,0.1,DF
229,Edoardo Bove,2.5,2024-2025,22,it ITA,2 Teams,it Serie A,12,851,9.5,11,1,2,0.1,0.2,0.3,0.1,0,0,0,2.5,1.8,0.7,1.5,0.3,1.5,3,50,1.5,1.3,0,1.3,0.6,3.2,0.8,0,"MF,FW"
230,Stefano Sabelli,2.5,2024-2025,31,it ITA,Genoa,it Serie A,34,2058,22.9,23,11,4,0,0.1,0.1,0,0,0,0,2.5,1.4,1.2,1.1,0.3,0.9,2.3,38.5,1.4,1.2,0.3,0.9,1,3.5,2.8,0,DF
231,Leonidas Stergiou,2.5,2024-2025,22,ch SUI,Stuttgart,de Bundesliga,12,852,9.5,11,1,4,0.1,0.2,0.3,0.1,0,0,0,2.5,1.4,1,1.2,0.4,1.7,2,84.2,0.3,1.7,0.5,1.2,1.5,4,4.1,0,DF
