Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
401,Douglas Luiz,2.2,2024-2025,26,br BRA,Juventus,it Serie A,19,529,5.9,3,16,6,0,0,0,0,0,0,0,2.2,1.4,1.2,0.9,0.2,1,1.5,66.7,0.5,0.9,0.3,0.5,0.7,2.9,0.9,0,MF
402,Kenny Lala,2.2,2024-2025,32,mg MAD,Brest,fr Ligue 1,30,2686,29.8,29,1,2,0.1,0.1,0.2,0,0.1,0.1,0,2.2,1.4,1.2,0.8,0.2,1.3,1.9,66.7,0.6,0.8,0.3,0.5,0.8,3,2.5,0.1,DF
403,Antonio Blanco,2.2,2024-2025,24,es ESP,Alavés,es La Liga,35,2727,30.3,32,3,1,0,0,0,0,0,0,0,2.2,1.3,0.8,1.2,0.2,1.1,2.7,38.6,1.7,1,0.2,0.8,1.4,3.6,1.6,0,MF
404,Gautier Lloris,2.2,2024-2025,29,fr FRA,Le Havre,fr Ligue 1,31,2768,30.8,31,0,1,0.1,0,0.1,0.1,0,0,0,2.2,1.4,1.7,0.5,0,1.2,1.7,71.7,0.5,1.1,0.7,0.4,1.1,3.3,6.2,0,DF
405,Jonas Föhrenbach,2.2,2024-2025,28,de GER,Heidenheim,de Bundesliga,27,1832,20.4,22,5,6,0,0,0,0,0,0,0,2.2,1.2,1.2,0.7,0.2,1.1,1.7,62.9,0.6,1.4,0.1,1.3,0.8,3,2.8,0,DF
406,Mohamed Abdelmoneim,2.2,2024-2025,25,eg EGY,Nice,fr Ligue 1,12,855,9.5,10,2,12,0,0,0,0,0,0,0,2.2,1.5,1.3,0.6,0.3,1.4,2.3,59.1,0.9,1.2,0.5,0.6,1.6,3.8,5.9,0.1,DF
407,Neil El Aynaoui,2.2,2024-2025,23,ma MAR,Lens,fr Ligue 1,24,1588,17.6,17,7,1,0.5,0.1,0.5,0.3,0.2,0.2,0,2.2,1.2,1,0.9,0.3,0.7,1.9,35.3,1.2,1.9,0.5,1.5,1.7,3.9,1.6,0,MF
408,Jude Bellingham,2.2,2024-2025,21,eng ENG,Real Madrid,es La Liga,31,2488,27.6,29,2,0,0.3,0.3,0.6,0.3,0,0.1,0,2.2,1.2,0.7,1,0.5,1,1.5,66.7,0.5,1.3,0.1,1.3,1,3.2,0.8,0,MF
409,Olasagasti,2.2,2024-2025,23,es ESP,Real Sociedad,es La Liga,22,857,9.5,7,15,16,0.1,0.1,0.2,0.1,0,0,0,2.2,1.1,0.7,0.9,0.5,0.8,1.9,44.4,1.1,0.8,0.2,0.6,1.6,3.8,1.1,0,MF
410,Jack Stephens,2.2,2024-2025,30,eng ENG,Southampton,eng Premier League,19,1389,15.4,17,2,4,0.1,0,0.1,0.1,0,0,0,2.2,1.3,1.6,0.6,0,1.1,1.9,56.7,0.8,1.3,0.8,0.5,0.8,3,3.4,0.1,DF
411,Corentin Tolisso,2.2,2024-2025,29,fr FRA,Lyon,fr Ligue 1,32,2329,25.9,27,5,1,0.3,0.2,0.4,0.3,0,0,0,2.2,1,0.8,1,0.4,1.3,2.5,52.3,1.2,2,0.5,1.5,0.9,3.1,1.6,0,MF
412,Chris Richards,2.2,2024-2025,24,us USA,Crystal Palace,eng Premier League,24,1922,21.4,22,2,5,0,0,0,0,0,0,0,2.2,1.4,1.1,0.8,0.3,1.1,1.9,58.5,0.8,1.9,0.7,1.2,0.9,3.1,5.7,0,DF
413,Sebastiano Esposito,2.2,2024-2025,22,it ITA,Empoli,it Serie A,33,2331,25.9,27,6,1,0.3,0,0.3,0.3,0,0.1,0,2.2,1.1,0.6,1.2,0.4,0.7,1.4,51.4,0.7,0.8,0.1,0.7,0.5,2.7,0.5,0,"FW,MF"
414,John Tolkin,2.2,2024-2025,22,us USA,Holstein Kiel,de Bundesliga,11,737,8.2,9,2,2,0,0.2,0.2,0,0,0,0,2.2,1.3,1.3,0.9,0,1.5,1.7,85.7,0.2,1.2,0.2,1,1,3.2,6.6,0,"DF,MF"
415,Lewis Ferguson,2.2,2024-2025,24,sct SCO,Bologna,it Serie A,16,983,10.9,10,6,9,0.1,0.1,0.2,0,0.1,0.1,0,2.2,1.2,0.4,1.3,0.5,0.8,1.5,56.3,0.6,0.8,0.2,0.6,0.5,2.7,0.8,0,MF
416,Pawe? Dawidowicz,2.2,2024-2025,29,pl POL,Hellas Verona,it Serie A,26,1845,20.5,24,2,1,0,0,0,0,0,0,0,2.2,1.2,1,1.1,0.1,0.9,1.3,66.7,0.4,0.8,0.3,0.5,1,3.2,3.4,0.1,"DF,MF"
417,Iñigo Ruiz de Galarreta,2.2,2024-2025,30,es ESP,Athletic Club,es La Liga,26,1477,16.4,18,8,1,0,0.2,0.2,0,0,0,0,2.2,1.3,0.7,1,0.5,1.2,1.9,64.5,0.7,0.7,0.2,0.4,1,3.2,0.9,0.1,MF
