Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
201,Kaoru Mitoma,0.3,2024-2025,27,jp JPN,Brighton,eng Premier League,36,2603,28.9,28,8,0,0.3,0.1,0.5,0.3,0,0,0,"FW,MF"
202,Neal Maupay,0.3,2024-2025,27,fr FRA,2 Teams,2 Comps,22,1042,11.6,13,9,11,0.3,0.3,0.7,0.3,0,0,0,"FW,MF"
203,Daniel Maldini,0.3,2024-2025,22,it ITA,2 Teams,it Serie A,30,1564,17.4,18,12,2,0.3,0,0.3,0.3,0,0,0,"MF,FW"
204,Paul Onuachu,0.3,2024-2025,30,ng NGA,Southampton,eng Premier League,25,1050,11.7,11,14,3,0.3,0.1,0.4,0.3,0,0,0,FW
205,Gorka Guruzeta,0.3,2024-2025,27,es ESP,Athletic Club,es La Liga,36,1840,20.4,21,15,1,0.3,0.1,0.4,0.3,0,0,0,FW
206,Niclas Füllkrug,0.3,2024-2025,31,de GER,West Ham,eng Premier League,18,790,8.8,6,12,1,0.3,0.2,0.6,0.3,0,0,0,FW
207,Nico O’Reilly,0.3,2024-2025,19,eng ENG,Manchester City,eng Premier League,9,528,5.9,6,3,21,0.3,0,0.3,0.3,0,0,0,DF
208,Dani Gómez,0.3,2024-2025,26,es ESP,Valencia,es La Liga,14,532,5.9,5,9,7,0.3,0,0.3,0.3,0,0,0,FW
209,Mauro Arambarri,0.3,2024-2025,28,uy URU,Getafe,es La Liga,35,2661,29.6,31,4,0,0.3,0,0.3,0.2,0.1,0.1,0,MF
210,Matias Fernandez-Pardo,0.3,2024-2025,19,be BEL,Lille,fr Ligue 1,22,1065,11.8,12,10,3,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
211,Elif Elmas,0.3,2024-2025,24,mk MKD,2 Teams,2 Comps,15,1065,11.8,12,3,11,0.3,0,0.3,0.3,0,0,0,"FW,MF"
212,Joel Pohjanpalo,0.3,2024-2025,29,fi FIN,Venezia,it Serie A,20,1603,17.8,19,1,0,0.3,0,0.3,0.2,0.2,0.2,0.1,FW
213,Dan Ndoye,0.3,2024-2025,23,ch SUI,Bologna,it Serie A,30,2143,23.8,26,4,1,0.3,0.2,0.5,0.3,0.1,0.1,0,FW
214,Jonathan Rowe,0.3,2024-2025,21,eng ENG,Marseille,fr Ligue 1,28,807,9,6,22,5,0.3,0.3,0.7,0.3,0,0,0,"FW,MF"
215,Gaëtan Perrin,0.3,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,2691,29.9,31,3,0,0.3,0.4,0.7,0.3,0,0,0,"MF,FW"
216,Iliman Ndiaye,0.3,2024-2025,24,sn SEN,Everton,eng Premier League,33,2430,27,29,4,0,0.3,0,0.3,0.3,0.1,0.1,0,FW
217,Jacob Bruun Larsen,0.3,2024-2025,25,dk DEN,2 Teams,de Bundesliga,27,814,9,6,21,5,0.3,0.2,0.6,0.3,0,0,0,"FW,MF"
218,Pablo Sarabia,0.3,2024-2025,32,es ESP,Wolves,eng Premier League,23,814,9,7,16,7,0.3,0.2,0.6,0.3,0,0,0,"MF,FW"
219,Zakaria Aboukhlal,0.3,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,1901,21.1,22,4,0,0.3,0.1,0.4,0.3,0,0.1,0,"MF,FW"
220,Mohamed Meité,0.3,2024-2025,16,fr FRA,Rennes,fr Ligue 1,12,544,6,5,7,4,0.3,0,0.3,0.3,0,0,0,FW
221,Marco Asensio,0.3,2024-2025,28,es ESP,2 Teams,2 Comps,25,1361,15.1,17,8,6,0.3,0.3,0.7,0.3,0,0.1,0.1,MF
222,Yan Diomandé,0.3,2024-2025,17,ci CIV,Leganés,es La Liga,10,545,6.1,6,4,0,0.3,0.2,0.5,0.3,0,0,0,"MF,FW"
223,Loïs Openda,0.3,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,2453,27.3,28,5,0,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
224,Ibrahim Sissoko,0.3,2024-2025,28,ml MLI,Saint-Étienne,fr Ligue 1,20,819,9.1,8,12,4,0.3,0.1,0.4,0.2,0.1,0.1,0,FW
225,Haris Tabakovic,0.3,2024-2025,30,ba BIH,Hoffenheim,de Bundesliga,22,821,9.1,6,16,8,0.3,0.1,0.4,0.3,0,0,0,FW
226,John Stones,0.3,2024-2025,30,eng ENG,Manchester City,eng Premier League,11,548,6.1,6,5,4,0.3,0,0.3,0.3,0,0,0,"DF,MF"
227,Alfon,0.3,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,1371,15.2,14,12,9,0.3,0.1,0.5,0.3,0,0,0,"FW,MF"
228,Eldor Shomurodov,0.3,2024-2025,29,uz UZB,Roma,it Serie A,27,1097,12.2,11,16,10,0.3,0.3,0.7,0.3,0,0,0,"FW,MF"
229,Daniel Mosquera,0.3,2024-2025,24,co COL,Hellas Verona,it Serie A,35,1375,15.3,12,23,2,0.3,0.1,0.4,0.3,0,0,0,FW
230,Adrien Rabiot,0.3,2024-2025,29,fr FRA,Marseille,fr Ligue 1,29,2485,27.6,27,2,0,0.3,0.1,0.5,0.3,0,0,0,MF
231,Jude Bellingham,0.3,2024-2025,21,eng ENG,Real Madrid,es La Liga,31,2488,27.6,29,2,0,0.3,0.3,0.6,0.3,0,0.1,0,MF
232,Lee Kang-in,0.3,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,1663,18.5,19,11,2,0.3,0.3,0.6,0.3,0,0,0,"FW,MF"
233,Nikola Krstovi?,0.3,2024-2025,24,me MNE,Lecce,it Serie A,37,3057,34,37,0,0,0.3,0.1,0.5,0.3,0.1,0.1,0,FW
234,Irvin Cardona,0.3,2024-2025,26,mt MLT,2 Teams,2 Comps,31,1669,18.5,18,13,2,0.3,0.2,0.5,0.3,0,0.1,0.1,"FW,MF"
235,Luka Jovi?,0.3,2024-2025,26,rs SRB,Milan,it Serie A,15,557,6.2,6,9,6,0.3,0,0.3,0.3,0,0,0,"FW,MF"
236,Ali Abdi,0.3,2024-2025,30,tn TUN,Nice,fr Ligue 1,25,1393,15.5,17,8,1,0.3,0.1,0.5,0.3,0,0,0,"DF,MF"
237,Joshua King,0.3,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,1673,18.6,21,7,0,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
238,Denzel Dumfries,0.3,2024-2025,28,nl NED,Inter,it Serie A,29,1955,21.7,20,9,4,0.3,0.1,0.4,0.3,0,0,0,"DF,FW"
239,Dodi Lukebakio,0.3,2024-2025,26,be BEL,Sevilla,es La Liga,38,3092,34.4,36,2,0,0.3,0.1,0.4,0.3,0,0,0,FW
240,Benedict Hollerbach,0.3,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,2540,28.2,30,4,0,0.3,0,0.4,0.3,0,0,0,"FW,MF"
241,Joan Jordán,0.3,2024-2025,30,es ESP,Alavés,es La Liga,25,1414,15.7,15,10,4,0.3,0.1,0.4,0.1,0.2,0.3,0.1,MF
242,Koka,0.3,2024-2025,31,eg EGY,Le Havre,fr Ligue 1,16,851,9.5,10,6,0,0.3,0.1,0.4,0.2,0.1,0.1,0,FW
243,Jota Silva,0.3,2024-2025,24,pt POR,Nott'ham Forest,eng Premier League,31,854,9.5,5,26,6,0.3,0.1,0.4,0.3,0,0,0,"FW,MF"
244,Andrea Pinamonti,0.3,2024-2025,25,it ITA,Genoa,it Serie A,36,2850,31.7,33,3,1,0.3,0,0.3,0.3,0,0,0,FW
245,Tomáš Sou?ek,0.3,2024-2025,29,cz CZE,West Ham,eng Premier League,35,2567,28.5,30,5,1,0.3,0,0.4,0.3,0,0,0,MF
246,Andrey Santos,0.3,2024-2025,20,br BRA,Strasbourg,fr Ligue 1,32,2855,31.7,32,0,0,0.3,0.1,0.4,0.3,0,0,0,MF
247,Ritsu Doan,0.3,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,2862,31.8,33,1,0,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
248,Gabriel Martinelli,0.3,2024-2025,23,br BRA,Arsenal,eng Premier League,33,2290,25.4,25,8,2,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
249,Dango Ouattara,0.3,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,2005,22.3,21,11,0,0.3,0.2,0.5,0.3,0,0,0,FW
250,Santiago Castro,0.3,2024-2025,19,ar ARG,Bologna,it Serie A,36,2294,25.5,27,9,1,0.3,0.2,0.5,0.3,0,0,0,FW
251,Florian Ayé,0.3,2024-2025,27,fr FRA,Auxerre,fr Ligue 1,26,575,6.4,4,22,8,0.3,0,0.3,0.3,0,0,0,FW
252,Bukayo Saka,0.3,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,1729,19.2,20,5,0,0.3,0.5,0.8,0.3,0.1,0.1,0,"FW,MF"
253,Désiré Doué,0.3,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,1730,19.2,18,13,1,0.3,0.3,0.6,0.3,0,0,0,"FW,MF"
254,Rafael Leão,0.3,2024-2025,25,pt POR,Milan,it Serie A,34,2323,25.8,25,9,2,0.3,0.3,0.6,0.3,0,0,0,FW
255,Noni Madueke,0.3,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,2033,22.6,27,5,1,0.3,0.1,0.4,0.3,0,0,0,FW
256,Antoine Semenyo,0.3,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,3203,35.6,36,1,0,0.3,0.1,0.4,0.3,0,0,0,FW
257,Sebastiano Esposito,0.3,2024-2025,22,it ITA,Empoli,it Serie A,33,2331,25.9,27,6,1,0.3,0,0.3,0.3,0,0.1,0,"FW,MF"
258,Eliesse Ben Seghir,0.3,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,1750,19.4,19,14,1,0.3,0.2,0.5,0.2,0.1,0.1,0,"MF,FW"
259,Martin Terrier,0.3,2024-2025,27,fr FRA,Leverkusen,de Bundesliga,15,584,6.5,7,8,0,0.3,0.2,0.5,0.3,0,0,0,"MF,FW"
260,Patrick Cutrone,0.3,2024-2025,26,it ITA,Como,it Serie A,33,2047,22.7,23,10,5,0.3,0.2,0.5,0.3,0,0,0,FW
261,Vedat Muriqi,0.3,2024-2025,30,xk KVX,Mallorca,es La Liga,29,2058,22.9,24,5,0,0.3,0.1,0.4,0.2,0.1,0.1,0,FW
262,László Bénes,0.3,2024-2025,26,sk SVK,Union Berlin,de Bundesliga,23,589,6.5,3,20,7,0.3,0.2,0.5,0.3,0,0,0,"MF,FW"
263,Che Adams,0.3,2024-2025,28,sct SCO,Torino,it Serie A,36,2652,29.5,30,6,1,0.3,0.1,0.4,0.3,0,0,0,FW
264,Jacob Murphy,0.3,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2360,26.2,31,4,2,0.3,0.5,0.8,0.3,0,0,0,FW
265,Charles De Ketelaere,0.3,2024-2025,23,be BEL,Atalanta,it Serie A,36,2070,23,25,11,0,0.3,0.3,0.6,0.3,0,0,0,"MF,FW"
266,Shavy Babicka,0.3,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,1186,13.2,11,19,2,0.3,0.2,0.5,0.3,0,0,0,"MF,FW"
267,Andrea Belotti,0.3,2024-2025,30,it ITA,Como,it Serie A,18,593,6.6,7,11,5,0.3,0,0.3,0.3,0,0,0,FW
268,Adnan Januzaj,0.3,2024-2025,29,be BEL,Las Palmas,es La Liga,18,598,6.6,5,13,6,0.3,0.2,0.5,0.3,0,0,0,"MF,FW"
269,Romain Faivre,0.3,2024-2025,26,fr FRA,Brest,fr Ligue 1,20,899,10,10,10,4,0.3,0.2,0.5,0.2,0.1,0.1,0,"MF,FW"
270,Elias Saad,0.3,2024-2025,24,tn TUN,St. Pauli,de Bundesliga,18,900,10,10,8,2,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
271,Antony,0.3,2024-2025,24,br BRA,2 Teams,2 Comps,25,1503,16.7,15,10,11,0.3,0.1,0.4,0.3,0,0,0,"DF,MF"
272,Morgan Guilavogui,0.3,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,1807,20.1,21,4,0,0.3,0.1,0.4,0.3,0,0,0,"FW,MF"
273,Son Heung-min,0.3,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,2110,23.4,24,6,0,0.3,0.4,0.7,0.3,0,0.1,0,FW
274,Wesley Saïd,0.3,2024-2025,29,fr FRA,Lens,fr Ligue 1,24,905,10.1,11,13,2,0.3,0,0.3,0.3,0,0,0,FW
275,Marvin Ducksch,0.3,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,2418,26.9,30,2,0,0.3,0.3,0.6,0.3,0,0.1,0,FW
276,Frank Magri,0.3,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,1516,16.8,17,14,0,0.3,0.1,0.4,0.3,0,0,0,"FW,MF"
277,Vincenzo Grifo,0.3,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,2432,27,31,3,0,0.3,0.4,0.7,0.3,0,0.1,0.1,"FW,MF"
278,Facundo Buonanotte,0.3,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,1523,16.9,14,17,3,0.3,0.1,0.4,0.3,0,0,0,"FW,MF"
279,Yankuba Minteh,0.3,2024-2025,20,gm GAM,Brighton,eng Premier League,32,1838,20.4,20,12,1,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
280,Breel Embolo,0.3,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,1841,20.5,19,10,5,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
281,Christopher Nkunku,0.3,2024-2025,26,fr FRA,Chelsea,eng Premier League,27,921,10.2,9,18,6,0.3,0.2,0.5,0.3,0,0,0,FW
282,Enzo Millot,0.3,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,1843,20.5,22,7,2,0.3,0.2,0.5,0.3,0,0,0,"MF,FW"
283,Matthis Abline,0.3,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,2768,30.8,33,1,0,0.3,0.1,0.4,0.3,0,0,0,FW
284,Milan ?uri?,0.3,2024-2025,34,ba BIH,2 Teams,it Serie A,27,1538,17.1,16,11,3,0.3,0.1,0.4,0.3,0,0,0,FW
285,Samuel Chukwueze,0.3,2024-2025,25,ng NGA,Milan,it Serie A,26,925,10.3,9,17,8,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
286,Yacine Adli,0.3,2024-2025,24,fr FRA,Fiorentina,it Serie A,26,1234,13.7,15,11,5,0.3,0.4,0.7,0.3,0,0,0,MF
287,Antoine Griezmann,0.3,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,2469,27.4,29,9,0,0.3,0.3,0.5,0.3,0,0.1,0,"FW,MF"
288,Zuriko Davitashvili,0.3,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,2778,30.9,32,1,0,0.3,0.3,0.6,0.2,0.1,0.1,0,"FW,MF"
289,Vitor Roque,0.3,2024-2025,19,br BRA,Betis,es La Liga,22,1235,13.7,14,8,0,0.3,0,0.3,0.3,0,0,0,FW
290,Lucas Höler,0.3,2024-2025,30,de GER,Freiburg,de Bundesliga,31,1867,20.7,21,10,2,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
291,Arnaud Nordin,0.3,2024-2025,26,fr FRA,2 Teams,2 Comps,22,1246,13.8,14,8,7,0.3,0.1,0.4,0.2,0.1,0.1,0.1,FW
292,Roberto Piccoli,0.3,2024-2025,23,it ITA,Cagliari,it Serie A,37,3127,34.7,37,0,0,0.3,0,0.3,0.3,0,0,0,FW
293,Tijjani Reijnders,0.3,2024-2025,26,nl NED,Milan,it Serie A,37,3128,34.8,36,1,0,0.3,0.1,0.4,0.3,0,0,0,MF
294,Jamie Vardy,0.3,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,2823,31.4,35,0,0,0.3,0.1,0.4,0.3,0,0.1,0,FW
295,Tom Cairney,0.3,2024-2025,33,sct SCO,Fulham,eng Premier League,25,628,7,3,22,10,0.3,0,0.3,0.3,0,0,0,MF
296,Tiago Tomás,0.3,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,1884,20.9,23,9,1,0.3,0,0.3,0.3,0,0,0,"FW,MF"
297,Ibrahima Niane,0.3,2024-2025,25,sn SEN,Angers,fr Ligue 1,24,943,10.5,8,16,1,0.3,0.1,0.4,0.2,0.1,0.1,0,FW
298,Orri Steinn Óskarsson,0.3,2024-2025,19,is ISL,Real Sociedad,es La Liga,23,944,10.5,9,14,2,0.3,0,0.3,0.3,0,0,0,FW
299,Marvin Pieringer,0.3,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,2206,24.5,26,5,0,0.3,0.2,0.4,0.2,0.1,0.1,0,"FW,MF"
300,Fisayo Dele-Bashiru,0.3,2024-2025,23,ng NGA,Lazio,it Serie A,20,947,10.5,12,8,16,0.3,0.1,0.4,0.3,0,0,0,"MF,FW"
301,Mamadou Sylla,0.3,2024-2025,30,sn SEN,Valladolid,es La Liga,29,1583,17.6,17,12,6,0.3,0.1,0.3,0.1,0.2,0.2,0,"FW,MF"
302,Lamine Yamal,0.3,2024-2025,17,es ESP,Barcelona,es La Liga,35,2856,31.7,31,4,0,0.3,0.4,0.7,0.3,0,0,0,FW
303,Justin Njinmah,0.3,2024-2025,23,de GER,Werder Bremen,de Bundesliga,26,952,10.6,10,16,1,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
304,Malick Fofana,0.3,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,1589,17.7,16,13,0,0.3,0.2,0.5,0.3,0,0,0,FW
305,Leandro Trossard,0.3,2024-2025,29,be BEL,Arsenal,eng Premier League,38,2546,28.3,28,10,0,0.3,0.2,0.5,0.3,0,0,0,FW
306,Rémy Labeau Lascary,0.3,2024-2025,21,gp GLP,Lens,fr Ligue 1,14,637,7.1,6,8,0,0.3,0.1,0.4,0.3,0,0,0,"FW,MF"
307,Keita Baldé,0.3,2024-2025,29,sn SEN,Monza,it Serie A,11,638,7.1,8,3,0,0.3,0,0.3,0.3,0,0,0,FW
308,Michael Gregoritsch,0.3,2024-2025,30,at AUT,Freiburg,de Bundesliga,20,639,7.1,5,15,8,0.3,0.1,0.4,0.3,0,0,0,FW
309,Rodrygo,0.3,2024-2025,23,br BRA,Real Madrid,es La Liga,30,1928,21.4,22,8,1,0.3,0.2,0.5,0.3,0,0,0,"FW,MF"
310,Eberechi Eze,0.3,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,2588,28.8,31,3,0,0.3,0.3,0.6,0.2,0,0.1,0,"MF,FW"
311,Jens Odgaard,0.3,2024-2025,25,dk DEN,Bologna,it Serie A,29,1952,21.7,24,5,3,0.3,0,0.3,0.3,0,0,0,"MF,FW"
312,Moses Simon,0.3,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,2609,29,31,1,0,0.3,0.3,0.6,0.1,0.1,0.1,0,"FW,MF"
