Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,TotalCmp/90,TotalAtt,TotalCmp%,TotalKP,passesToFinalThird,PPA,CrsPA,PrgP,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,ShortCmp,ShortAtt,ShortCmp%,ShortCmp,ShortAtt,ShortCmp%,Pos
1,Joshua Kimmich,103.3,2024-2025,29,de GER,Bayern Munich,de Bundesliga,33,2847,31.6,32,1,0,0.1,0.2,0.3,0.1,0,0,0,103.3,115.4,89.5,2.6,13.8,1.7,0.3,11.4,1862.2,544.8,46.3,48.2,96.1,45.1,49.3,91.5,10.9,15.6,69.9,MF
2,Vitinha,98.6,2024-2025,24,pt POR,Paris S-G,fr Ligue 1,29,2042,22.7,20,9,2,0.2,0,0.3,0.1,0.1,0.1,0,98.6,105.9,93.1,1.2,11.3,1.6,0.1,9.9,1745.6,406.7,44.8,46.6,96.1,40.5,42.4,95.5,11.1,13.1,84.5,MF
3,Dani Ceballos,95.1,2024-2025,27,es ESP,Real Madrid,es La Liga,23,1215,13.5,15,8,6,0,0,0,0,0,0,0,95.1,100.8,94.3,1.6,11.6,0.7,0,11.1,1541.1,442.4,47.3,48.5,97.6,39.2,40.7,96.2,6.1,7.6,79.6,MF
4,Leonardo Balerdi,93.4,2024-2025,25,ar ARG,Marseille,fr Ligue 1,27,2273,25.3,27,0,1,0,0,0,0,0,0,0,93.4,99.6,93.8,0.3,5.9,0.2,0,4.2,1563.1,587,40.5,41.7,97.2,45.7,47.4,96.4,4.9,7.4,67.2,DF
5,Dayot Upamecano,92.4,2024-2025,25,fr FRA,Bayern Munich,de Bundesliga,20,1759,19.5,20,0,2,0.1,0,0.1,0.1,0,0,0,92.4,98.4,93.9,0.4,10.1,0.2,0.1,7,1740.5,570.2,30.8,32.8,93.9,53.2,55,96.7,7.5,9.1,83.1,DF
6,Kim Min-jae,92.2,2024-2025,27,kr KOR,Bayern Munich,de Bundesliga,27,2283,25.4,27,0,3,0.1,0,0.1,0.1,0,0,0,92.2,99.7,92.5,0.2,9.3,0.1,0,7.1,1539.1,602.8,41.3,43.4,95.1,45.4,47.8,95,4.5,6.5,70.1,DF
7,Marquinhos,90.6,2024-2025,30,br BRA,Paris S-G,fr Ligue 1,22,1725,19.2,19,3,5,0.1,0,0.1,0.1,0,0,0,90.6,95.5,94.9,0.5,9.6,0.2,0.1,7.9,1762.2,525.5,27.3,28.1,97.2,52.8,54.2,97.4,9.7,11.7,82.7,DF
8,Pierre Højbjerg,90.3,2024-2025,28,dk DEN,Marseille,fr Ligue 1,30,2664,29.6,30,0,1,0.1,0.1,0.2,0.1,0,0,0,90.3,97.8,92.4,1.5,7.8,1,0,8.9,1400.9,422.6,46.8,49.4,94.9,37,38.9,95.1,3.7,5.6,67.3,MF
9,Lucas Beraldo,90.1,2024-2025,20,br BRA,Paris S-G,fr Ligue 1,25,2011,22.3,22,3,8,0,0,0,0,0,0,0,90.1,95.4,94.4,0.4,7.5,0.6,0.1,5.9,1591.1,565,34.1,35.4,96.3,48.9,50.7,96.6,5.8,7.2,81.3,DF
10,Aleksandar Pavlovic,89.1,2024-2025,20,de GER,Bayern Munich,de Bundesliga,21,1451,16.1,18,3,3,0.1,0,0.1,0.1,0,0,0,89.1,95.6,93.3,0.4,10.5,0.8,0.1,7.9,1394.1,333.3,49.2,50.9,96.6,33.9,35.7,95.1,4.7,6.5,73.1,MF
11,Ismaël Bennacer,88.9,2024-2025,26,dz ALG,2 Teams,2 Comps,18,946,10.5,12,6,3,0,0.2,0.2,0,0,0,0,88.9,98.1,90.6,1.6,10,1.6,0.3,9,1430,385.9,44.1,46.4,95.1,35.3,36.9,95.6,6.7,10.3,64.8,MF
12,Rúben Dias,85.9,2024-2025,27,pt POR,Manchester City,eng Premier League,27,2271,25.2,25,2,0,0,0,0,0,0,0,0,85.9,91.8,93.5,0.2,8.8,0.5,0,6.3,1491.8,481.2,35.7,36.8,96.9,44.3,45.9,96.5,4.8,7,67.8,DF
13,Lucas Hernández,85.4,2024-2025,28,fr FRA,Paris S-G,fr Ligue 1,16,877,9.7,10,6,4,0,0,0,0,0,0,0,85.4,93.1,91.7,0.1,5.6,0.1,0,5.1,1465.7,497.8,32.3,33.8,95.7,49,51.3,95.4,2.9,5.4,52.8,DF
14,Frenkie de Jong,85.4,2024-2025,27,nl NED,Barcelona,es La Liga,26,1143,12.7,9,17,3,0.2,0.2,0.3,0.2,0,0,0,85.4,90.4,94.4,1.7,11,0.9,0,9.4,1329,370.2,45.3,46.3,97.8,31.8,33.2,95.7,5.4,6.1,87.2,MF
