,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
401,Ezri Konsa,47.7,2024-2025,26,eng ENG,Aston Villa,eng Premier League,34,2936,32.6,33,1,1,0.1,0,0.1,0.1,0,0,0,47.7,51.3,92.9,0.2,3.2,0.1,0,2.8,806.2,269.2,20.5,21.2,96.7,24.7,25.9,95.6,1.9,2.9,65.3,DF
402,Nicolò Casale,47.7,2024-2025,26,it ITA,2 Teams,it Serie A,17,1035,11.5,11,6,17,0,0.1,0.1,0,0,0,0,47.7,54.1,88.1,0.3,3,0.2,0,3,942.9,312.9,14.4,16.3,88.3,28.4,30.5,93.2,4.5,5.7,78.8,DF
403,Rayan Cherki,47.6,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,2041,22.7,22,8,0,0.4,0.5,0.8,0.4,0,0,0,47.6,60.6,78.5,3.3,4.3,3.4,0.1,9.1,749.9,226.7,26.3,29.4,89.5,16.4,20,82.3,3.5,7.3,48.5,"FW,MF"
404,Ainsley Maitland-Niles,47.6,2024-2025,26,eng ENG,Lyon,fr Ligue 1,32,1985,22.1,20,12,2,0,0.2,0.2,0,0,0,0,47.6,55.9,85,1.2,3,1.4,0.3,4.6,732.2,229.1,26.1,28.4,91.9,17.5,20.1,86.9,2.8,4.4,62.9,DF
405,Vanderson,47.5,2024-2025,23,br BRA,Monaco,fr Ligue 1,29,2064,22.9,23,6,2,0,0.1,0.2,0,0,0,0,47.5,61.2,77.7,1,3.3,1.3,0.5,4.4,808.3,287.7,23.9,27.2,87.8,18,22.8,78.9,4.5,7.6,59.2,DF
406,Khéphren Thuram,47.5,2024-2025,23,fr FRA,Juventus,it Serie A,35,2326,25.8,26,9,0,0.2,0.2,0.3,0.2,0,0,0,47.5,53.7,88.4,1,4.8,0.7,0,4.8,730.4,181.7,25.7,27.8,92.2,18.4,20.2,91.2,2.2,3.2,67.5,MF
407,Amos Pieper,47.5,2024-2025,26,de GER,Werder Bremen,de Bundesliga,23,1498,16.6,16,7,9,0,0,0,0,0,0,0,47.5,56,84.8,0.2,2.4,0.5,0.1,3.7,924.8,292.7,16.8,18.6,90.3,23.7,26.1,90.8,6.4,10,64.1,DF
408,Denis Vavro,47.4,2024-2025,28,sk SVK,Wolfsburg,de Bundesliga,29,2461,27.3,27,2,2,0.1,0,0.1,0.1,0,0,0,47.4,54.6,86.9,0.3,3.7,0.2,0,3.5,1073.4,363.9,11.2,12.6,88.7,27.5,29.2,94.4,8.6,12.1,70.7,DF
409,Soungoutou Magassa,47.4,2024-2025,20,fr FRA,Monaco,fr Ligue 1,21,1025,11.4,12,9,4,0,0.1,0.1,0,0,0,0,47.4,56,84.6,0.6,5.9,0.9,0.2,5.5,813.8,239.8,22,24.6,89.3,20.9,22.9,91.2,3.4,5.5,61.9,MF
410,Adrien Rabiot,47.4,2024-2025,29,fr FRA,Marseille,fr Ligue 1,29,2485,27.6,27,2,0,0.3,0.1,0.5,0.3,0,0,0,47.4,55.9,84.8,1,5.3,0.9,0.2,6.1,652.7,146,28.1,30.7,91.4,15.6,18.1,86,1.4,2.4,56.7,MF
411,Óscar Trejo,47.4,2024-2025,36,ar ARG,Rayo Vallecano,es La Liga,19,496,5.5,6,13,19,0.2,0,0.2,0.2,0,0,0,47.4,56.6,83.7,1.6,5.4,0.9,0,6.7,624.4,140.6,31,33.9,91.4,12.2,14.9,81.7,1.8,3.6,50,MF
412,Felix Nmecha,47.4,2024-2025,23,de GER,Dortmund,de Bundesliga,26,1509,16.8,19,7,0,0.2,0.1,0.3,0.2,0,0,0,47.4,53.9,87.9,0.8,5.4,0.7,0,5.1,842.3,194.4,20.9,22.7,92.1,21.1,23.1,91.2,4.5,5.5,80.6,MF
413,Giovani Lo Celso,47.3,2024-2025,28,ar ARG,Betis,es La Liga,25,1457,16.2,15,10,0,0.5,0.2,0.7,0.4,0.1,0.2,0.1,47.3,59.9,79,2.7,5.5,2.5,0.1,8.2,768.4,266.1,23.7,26.8,88.2,16.4,20.1,81.5,4.6,8.3,54.8,"MF,FW"
414,Enzo Millot,47.2,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,1843,20.5,22,7,2,0.3,0.2,0.5,0.3,0,0,0,47.2,55.7,84.8,1.1,4.3,1.5,0.1,5.8,667.3,161.4,29.8,32.6,91.5,14.2,16.4,86.3,2.1,4,53.1,"MF,FW"
415,Cédric Kipré,47.2,2024-2025,27,ci CIV,Reims,fr Ligue 1,28,2190,24.3,26,2,4,0,0,0,0,0,0,0,47.2,53.1,88.9,0.4,3.5,0.4,0.2,3.2,865.9,309.6,17.5,18.6,94.3,25.3,27.4,92.3,3.7,5.8,62.7,DF
416,Gaby Jean,47.1,2024-2025,24,fr FRA,Lecce,it Serie A,19,1388,15.4,16,3,11,0,0,0,0,0,0,0,47.1,55.9,84.3,0.1,2.1,0.1,0.1,2.7,797,333,20,21.5,92.8,22.2,25,88.8,3.3,6.5,50.5,DF
417,Konstantinos Koulierakis,47.1,2024-2025,20,gr GRE,Wolfsburg,de Bundesliga,30,2468,27.4,28,2,1,0,0.1,0.1,0,0,0,0,47.1,56.8,83,0.4,3.8,0.4,0.1,3.8,961.3,351.2,14.8,16,92.3,25.8,28.3,91.4,6.1,11.3,53.7,DF
418,Logan Costa,47.1,2024-2025,23,cv CPV,2 Teams,2 Comps,33,2677,29.7,29,4,3,0.1,0,0.1,0.1,0,0,0,47.1,53.8,87.6,0.2,3.7,0.2,0,4,910.7,345.5,17.5,18.5,94.9,23.4,25.1,93.2,5.6,9.3,60.6,DF
419,Koni De Winter,47,2024-2025,22,be BEL,Genoa,it Serie A,25,2135,23.7,23,2,2,0.1,0,0.1,0.1,0,0,0,47,54.3,86.6,0.1,1.8,0.1,0.1,2.4,856.1,290.9,16.6,18.5,89.7,26.1,28.3,92.3,3.3,5.4,62.2,DF
420,Arthur Vermeeren,47,2024-2025,19,be BEL,2 Teams,2 Comps,28,1572,17.5,18,10,5,0,0.1,0.1,0,0,0,0,47,54.6,86.1,0.7,4.1,0.3,0,4.4,725,199.2,23.3,26.6,87.7,20.2,22.3,90.5,1.7,2.5,69.8,MF
421,Casemiro,47,2024-2025,32,br BRA,Manchester Utd,eng Premier League,24,1494,16.6,18,6,14,0.1,0,0.1,0.1,0,0,0,47,59.6,78.8,1.3,4.9,1.4,0.4,5.1,783.7,245.1,22.2,25.6,86.8,18.9,22.5,83.7,4.2,6.8,61.1,MF
422,Bryan Cristante,47,2024-2025,29,it ITA,Roma,it Serie A,30,2045,22.7,23,7,0,0.2,0.1,0.3,0.2,0,0,0,47,57,82.3,0.8,6.3,0.7,0,6.4,829.5,231.4,20.3,23.5,86.5,21.8,24.3,89.7,4.1,6.7,61.2,MF
423,Niklas Stark,46.9,2024-2025,29,de GER,Werder Bremen,de Bundesliga,26,2106,23.4,25,1,1,0,0,0,0,0,0,0,46.9,54.8,85.6,0,2.8,0.1,0,2.6,908.6,331.3,15.2,17.2,88.3,27,29.5,91.3,4.3,7,62,DF
424,Abner,46.9,2024-2025,24,br BRA,Lyon,fr Ligue 1,19,1090,12.1,12,7,13,0.1,0.1,0.2,0.1,0,0,0,46.9,55.7,84.1,0.9,3.7,0.9,0.2,5.4,689.9,288.5,27.7,30.2,91.5,14.9,17.3,86.2,2.7,4.5,60,DF
