Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
801,Maxence Lacroix,0.1,2024-2025,24,fr FRA,Crystal Palace,eng Premier League,35,3116,34.6,35,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0,0.11,0.9,0.03,0.2,0.1,16.7,10.8,0,DF
802,Youri Tielemans,0.1,2024-2025,27,be BEL,Aston Villa,eng Premier League,36,3026,33.6,35,1,0,0.1,0.2,0.3,0.1,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0,0,0,0.06,1.2,0.08,0.25,0.4,30,20.1,0,MF
803,Matteo Darmian,0.1,2024-2025,34,it ITA,Inter,it Serie A,29,1781,19.8,20,9,4,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0,0.18,0.6,0.27,1,0.2,27.3,14.4,0,DF
804,Patrick Erras,0.1,2024-2025,29,de GER,Holstein Kiel,de Bundesliga,10,832,9.2,10,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0.11,0.9,0.13,1,0.1,12.5,10,0,DF
805,Riccardo Sottil,0.1,2024-2025,25,it ITA,2 Teams,it Serie A,24,956,10.6,9,15,12,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.04,2.3,0.04,0.17,0.6,25,18.9,0.1,"FW,MF"
806,Olasagasti,0.1,2024-2025,23,es ESP,Real Sociedad,es La Liga,22,857,9.5,7,15,16,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.07,1.4,0.08,0.5,0.2,15.4,18.5,0,MF
807,Juan Cuadrado,0.1,2024-2025,36,co COL,Atalanta,it Serie A,23,832,9.2,7,16,6,0,0.2,0.2,0,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,-0.1,-0.1,0,0.06,1.7,0,0,0.4,25,16,0,"DF,MF"
808,Alexis Mac Allister,0.1,2024-2025,25,ar ARG,Liverpool,eng Premier League,35,2599,28.9,30,5,0,0.2,0.2,0.3,0.2,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0.1,0.1,0,0.07,1.3,0.13,0.38,0.5,34.2,18.1,0,MF
809,Donny van de Beek,0.1,2024-2025,27,nl NED,Girona,es La Liga,26,1421,15.8,16,10,6,0.1,0.1,0.3,0.1,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0,0,-0.1,0.08,1.1,0.11,0.4,0.3,27.8,14.7,0,MF
810,Lasse Rosenboom,0.1,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,1734,19.3,21,5,8,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.16,0.6,0.17,0.4,0.3,41.7,12.7,0,DF
